store_number,mcdzips
100,33801
101,60025
103,21401
104,20745
108,61832
109,80301
110,16509
112,47305
116,40258
117,49509
119,60048
121,53083
122,36606
123,22042
124,18109
128,46774
132,54901
134,11751
135,65807
139,48823
142,7410
144,65109
146,48071
147,80903
148,6111
151,33604
152,33901
154,61401
156,46805
158,49441
159,55987
160,8816
162,54701
163,54935
164,54220
165,53219
166,67211
169,49203
171,65201
173,53227
174,44126
179,48706
180,6606
181,80631
183,11756
187,45419
188,48910
189,60174
190,80525
191,49015
192,27405
193,14226
197,44305
198,11720
200,22030
201,6477
202,55421
203,97220
204,60064
207,14224
209,51104
210,48529
211,20783
212,45011
216,60115
217,28805
219,80010
220,87110
221,11757
222,48504
223,57702
225,19711
226,82001
229,44708
231,8817
232,80219
234,8002
235,87108
236,45236
240,60649
241,20852
242,11731
248,49505
249,83704
250,33781
252,32507
253,22304
255,18702
256,48640
258,40219
260,29625
261,45432
262,44137
264,37918
265,7748
268,15005
270,46516
273,11566
274,20707
276,44223
277,44124
278,60419
280,57701
284,55420
287,45042
288,37917
289,47404
290,46361
291,55118
292,73505
293,44130
294,15068
295,8638
301,6011
302,60007
306,48195
308,84404
309,49442
312,21222
313,57105
315,60648
316,27262
317,66611
318,43302
319,48060
320,41018
324,14701
326,60110
328,45416
329,60090
330,97005
335,60639
337,14304
339,44095
342,90266
343,67216
346,48093
348,14225
351,65803
353,90291
356,1089
357,48506
359,31206
362,43606
364,87107
366,44144
368,27704
371,55106
373,1603
375,16505
380,94002
381,44313
383,47129
384,97202
385,53402
391,48146
392,37912
396,62223
398,50312
400,21286
401,60402
405,81002
406,8861
407,37664
410,67501
411,98148
415,60406
416,94063
420,8059
422,80234
424,78723
425,97266
428,15235
429,63042
432,48601
434,80203
435,98144
437,90501
438,64054
441,45503
442,15102
445,22207
447,13440
449,35218
451,17011
453,8610
454,32401
455,31906
458,68131
459,98107
460,92867
462,71105
463,7661
465,64804
466,1420
467,44104
468,33404
470,46952
471,2721
472,98188
475,61604
476,90712
478,50310
482,33765
483,92804
486,91331
487,48066
488,48082
490,60655
491,41101
492,53221
493,46601
496,70062
500,33880
501,1810
503,97220
504,44121
505,29209
506,10543
507,55414
512,62301
513,92805
516,21146
521,29169
524,91504
525,21061
529,70805
530,35601
531,55428
532,64506
534,90503
536,44306
538,20906
540,90640
543,28052
549,2131
550,48917
551,35801
552,91343
553,30601
555,55110
557,19136
558,30904
561,90631
562,43224
563,28208
565,37040
566,62206
567,48223
568,32117
569,33612
570,99208
571,19805
572,90249
573,8010
574,46613
577,63116
578,90732
579,30161
583,19115
585,98402
589,84403
590,98499
592,1109
593,91506
594,97301
595,1867
596,3103
597,36607
599,90660
600,60130
603,95128
604,4102
605,91405
609,14850
611,20743
612,23230
613,32118
616,92844
618,98408
621,6457
623,92025
625,91767
626,18104
627,6489
629,1760
632,95118
633,90242
634,90744
641,42240
643,53222
644,52601
645,1020
647,30342
648,27106
649,22312
650,20002
652,53144
653,8097
654,95129
655,44142
658,90717
660,13214
661,95818
662,30328
666,4401
668,70806
669,32901
670,63130
671,55102
672,7001
677,12804
678,35661
681,33334
682,91744
683,6702
684,2124
685,91762
688,95841
690,93901
691,2072
693,20705
695,20011
697,40215
701,33607
702,55427
705,73159
706,84117
708,7083
711,48603
713,95821
714,15090
715,60302
717,33803
719,84115
722,53208
723,53051
724,93003
726,11590
728,20912
729,20746
731,91780
735,92627
736,2132
737,2301
738,60426
739,6450
740,34207
741,91605
742,1852
744,92704
747,67214
748,6830
749,32205
750,8360
751,67214
752,19040
753,60453
754,90650
757,94590
758,46226
761,48135
762,20737
763,94806
764,95350
766,33012
767,11803
768,11572
769,91006
770,60625
772,44108
773,95819
775,66204
776,94706
777,92868
778,95060
779,91732
780,53217
781,90405
782,43201
784,44134
787,90621
788,34950
789,38118
791,33162
792,33143
793,90604
794,70131
795,91326
799,61032
801,90280
802,95207
803,92626
804,91104
805,60638
806,93033
807,92833
809,92683
811,63136
812,60620
813,64116
814,93702
815,41071
816,14209
817,44070
818,44129
820,6460
821,44060
823,94541
825,13413
826,33167
830,54302
832,35810
833,78704
834,91345
837,12401
839,95608
841,44118
842,19001
843,95128
844,60623
846,17701
847,22305
849,91950
850,43701
851,46227
852,53130
853,60010
854,90260
855,92507
856,33614
857,92647
858,20019
860,8879
862,1060
863,22003
864,90716
865,90301
866,60646
867,84109
870,60445
871,13212
872,8619
874,94546
875,80909
876,90035
877,8104
881,47374
882,21244
883,18052
885,46254
886,57701
887,50613
888,60123
890,6854
891,61554
892,20110
894,12205
897,60619
898,21208
900,89030
901,91205
903,91010
904,33311
905,90047
908,48127
909,51106
910,60153
911,20747
912,60614
916,7109
917,91910
918,22204
919,56001
921,19602
922,19018
924,33021
925,19067
927,33012
930,90255
932,3079
933,62040
935,18508
936,8057
938,92801
939,94578
940,11772
941,40204
942,91030
943,20740
944,30305
945,76010
947,91601
948,91107
949,6810
951,71201
952,28405
953,98057
958,49548
959,90230
961,46320
962,92504
965,37620
966,43605
967,21409
968,22180
969,95205
970,90247
971,91754
973,95125
974,90602
975,89109
976,53207
979,48125
981,49001
983,91740
987,12866
988,46241
989,40504
990,3801
993,46222
995,66612
996,13502
998,20746
999,22203
1000,60018
1001,62521
1005,91340
1006,12304
1007,92806
1008,95051
1009,36107
1010,98406
1013,33064
1014,92110
1018,61820
1020,1923
1021,53716
1022,98133
1023,91605
1024,21215
1026,6473
1027,90029
1030,47304
1032,6430
1033,91786
1034,85713
1035,85719
1037,70815
1039,63701
1043,48185
1044,27605
1045,19020
1047,30341
1048,95991
1049,14606
1051,95926
1052,92374
1053,80303
1055,63115
1057,55906
1058,92647
1059,10469
1061,20706
1063,90016
1064,89503
1065,11427
1072,19606
1073,63301
1074,11422
1075,8753
1076,90701
1077,33401
1079,80224
1080,4011
1081,46947
1083,38119
1084,7728
1085,91423
1086,6066
1087,76541
1090,90042
1092,85018
1093,20904
1095,8225
1096,11229
1098,33144
1099,33710
1100,58103
1102,15234
1103,93117
1105,84107
1107,79412
1108,33030
1109,29605
1110,20895
1111,94558
1113,91324
1114,93458
1115,95691
1116,78758
1118,73110
1119,29204
1120,90505
1121,90043
1122,19803
1123,17057
1124,33704
1125,32809
1126,90037
1127,92706
1132,48126
1133,43537
1135,90006
1136,90023
1146,20176
1147,1247
1148,40203
1149,58201
1150,47715
1152,60443
1154,76053
1155,33607
1157,5403
1158,85015
1159,11369
1161,44704
1162,90250
1163,53005
1166,6360
1167,33156
1168,30084
1169,2081
1170,11434
1171,92832
1172,11363
1174,44691
1175,21061
1179,45255
1180,79106
1181,72401
1182,31520
1183,33040
1190,96821
1195,56387
1199,99503
1200,92780
1201,91406
1203,90606
1205,93065
1206,96816
1207,65804
1208,53172
1209,63131
1212,2601
1213,1040
1215,92054
1216,27406
1218,16602
1219,38305
1220,24502
1221,79401
1222,22191
1223,6340
1224,13126
1225,6226
1226,45013
1228,94538
1229,90713
1230,92109
1231,40503
1233,94536
1235,22601
1239,23294
1240,6092
1243,37919
1246,55912
1247,40241
1248,59405
1249,59102
1250,40216
1252,48034
1255,24541
1257,6033
1258,85015
1259,91311
1260,96734
1263,72227
1264,34652
1265,33511
1266,75601
1267,53216
1270,48240
1272,2536
1273,2062
1274,14206
1276,90034
1278,31602
1279,30084
1281,37415
1284,76308
1288,90404
1289,36303
1291,33756
1293,6457
1294,8034
1296,91801
1298,70808
1300,79603
1301,75701
1302,2492
1304,90033
1305,43615
1308,91706
1309,48180
1310,44240
1312,49508
1313,95348
1314,33610
1316,79760
1318,48811
1322,19428
1323,1453
1325,90019
1327,33316
1328,46516
1329,48060
1330,72901
1337,90670
1339,48161
1340,62002
1341,18966
1343,4330
1345,4901
1346,6475
1349,64119
1350,14623
1351,6405
1352,16801
1353,94521
1355,94533
1356,36201
1357,66061
1359,20906
1360,66538
1361,94947
1362,45701
1363,72701
1364,98136
1365,98225
1366,55448
1367,19124
1369,60035
1370,56301
1373,20009
1377,32960
1379,66112
1380,93103
1381,10507
1382,6106
1384,23321
1385,66202
1386,94404
1387,29501
1388,35020
1389,6614
1391,90029
1392,60101
1393,60411
1394,57104
1395,52404
1396,4106
1398,28025
1399,79924
1402,96817
1403,85016
1405,94608
1406,55406
1408,8505
1409,19428
1411,90038
1412,36602
1413,34231
1416,23455
1417,23502
1418,90003
1420,46383
1421,37204
1422,37211
1423,37210
1424,87112
1426,92646
1429,19901
1432,95123
1433,40219
1435,12054
1437,91201
1438,6450
1439,1301
1440,85301
1442,18644
1443,7052
1444,45505
1446,39401
1447,8021
1450,15222
1453,20009
1459,23860
1460,60126
1461,25703
1462,94901
1465,1701
1466,23462
1468,2184
1471,23503
1472,4072
1473,1803
1474,1960
1475,7076
1476,33313
1477,33615
1478,29210
1479,36116
1480,78207
1481,44102
1482,90745
1485,96782
1488,79107
1489,8901
1490,1835
1491,8865
1492,14901
1493,62650
1494,60561
1496,48021
1498,98004
1500,93534
1502,96740
1503,21093
1504,21061
1505,16501
1508,33774
1509,76115
1510,94568
1511,66046
1512,2532
1515,13069
1517,93030
1518,92708
1519,96732
1525,98310
1527,33460
1528,94040
1529,92119
1530,63044
1531,63109
1532,3301
1533,91351
